word,phonetic,translation,definition,pos,exchange,frequency
beneficial,.beni'fiʃәl,"a. 有益的, 受益的\n[经] 有使用权的, 可享利益的",s. promoting or enhancing well-being,,,4991
benefit,'benifit,n. 利益\nvt. 有益于\nvi. 受益,n. financial assistance in time of need\nn. something that aids or promotes well-being\nn. a performance to raise money for a charitable cause\nv. be beneficial for,,s:benefits/d:benefited/3:benefits/p:benefited/i:benefiting,812
benefited,,"vt. 有益于, 有助于（benefit的过去式与过去分词形式）",imp. & p. p. of Benefit,,0:benefit/1:dp,
benefiting,,"vt. 有益于, 有助于（benefit的现在分词形式）",v derive a benefit from\nv be beneficial for,,0:benefit/1:i/i:benefiting,37863
benevolence,bi'nevәlәns,"n. 善意, 慈悲, 善行\n[法] 捐助物, 捐款, 仁慈",n. disposition to do good\nn. an inclination to do kind or charitable acts\nn. an act intending or showing kindness and good will,,s:benevolences,18646
bennet,'benit,"n. 水杨梅, 花梗",n. avens of Virginia having pale or greenish yellow flowers\nn. North American white-flowered avens,,,25514
bennets,,贝内茨,,,,
bent,bent,"a. 弯曲的, 决心的\nn. 爱好\nbend的过去式和过去分词",n. a relatively permanent inclination to react in a particular way\nn. grass for pastures and lawns especially bowling and putting greens\nn. an area of grassland unbounded by fences or hedges\nn. a special way of doing something,,0:bend/1:pd/d:bent/p:bent/s:bents,12145
bequeathed,bɪˈkwi:ðd,v. 将…遗赠给( bequeath的过去式和过去分词 ); 将（知识等）传给（后人）,imp. & p. p. of Bequeath,,0:bequeath/1:pd,
bequest,bi'kwest,"n. 遗赠物, 遗产, 遗赠\n[经] 遗产",n. (law) a gift of personal property by will,,s:bequests/p:bequested,17885
beside,bi'said,prep. 在旁边,"n. At the side of; on one side of.\nn. Aside from; out of the regular course or order of; in a\n   state of deviation from; out of.\nn. Over and above; distinct from; in addition to.\nadv. On one side.\nadv. More than that; over and above; not included in the\n   number, or in what has been mentione",,,1981
best,best,a. 最好的\nadv. 最好地\nn. 最好的人,n. the supreme effort one can make\nn. the person who is most outstanding or excellent; someone who tops all others\nn. Canadian physiologist (born in the United States) who assisted F. G. Banting in research leading to the discovery of insulin (1899-1978),,0:good/1:t/r:best/3:bests/d:bested/i:besting/p:bested,309
bestow,bi'stәu,"vt. 授予, 使用, 贮藏, 留宿",v. give as a gift,,d:bestowed/p:bestowed/i:bestowing/3:bestows,9425
bestowed,biˈstəud,"v. 赠给, 授予( bestow的过去式和过去分词 )",imp. & p. p. of Bestow,,0:bestow/1:dp,
bestowing,bi'stәuiŋ,砖窑中砖堆上层已烧透的砖,v present\nv give as a gift\nv bestow a quality on,,0:bestow/1:i/i:bestowing,
better,'betə,n. 长辈；较好者；打赌的人（等于bettor）\nadv. 更好的；更多的；较大程度地\nadj. 较好的\nvt. 改善；胜过\nvi. 变得较好\nn. (Better)人名；(西、瑞典、德)贝特尔,,,,
betray,bi'trei,"vt. 出卖, 背叛, 辜负, 暴露\n[法] 出卖, 背叛, 泄漏",v. reveal unintentionally\nv. deliver to an enemy by treachery,,d:betrayed/p:betrayed/i:betraying/3:betrays,4974
betrayed,biˈtreid,v. 对…不忠( betray的过去式和过去分词 ); 背叛; 出卖; 泄露,"v reveal unintentionally\nv deliver to an enemy by treachery\nv disappoint, prove undependable to; abandon, forsake\nv be sexually unfaithful to one's partner in marriage\nv give away information about somebody\nv cause someone to believe an untruth",,0:betray/1:dp/d:betrayed/p:betrayed,16381
bets,,abbr. 北京英语水平考试（Beijing English Testing System）,n the money risked on a gamble\nn the act of gambling\nv maintain with or as if with a bet\nv stake on the outcome of an issue\nv have faith or confidence in,,0:bet/1:s3,
bewailed,biˈweild,"v. 因（某事物）而悲愁, 悲哀( bewail的过去式和过去分词 )",imp. & p. p. of Bewail,,1:pd/0:bewail,
bewildered,bɪ'wɪldəd,a. 困惑的; 晕眩的; 混乱的; 不知所措的\nv. 使困惑,v be a mystery or bewildering to\nv cause to be confused emotionally\ns perplexed by many conflicting situations or statements; filled with bewilderment,,d:bewildered/0:bewildered/1:dp/p:bewildered,10588
bewilderment,bi'wildәmәnt,"n. 困惑, 昏乱",n. confusion resulting from failure to understand,,s:bewilderments,16656
bewitched,bɪ'wɪtʃt,"v. 对（某人）施魔法( bewitch的过去式和过去分词 ); 令（某人）心醉, 入迷; 魂迷魄荡",s. under a spell,,0:bewitch/1:dp/p:bewitched/d:bewitched,30966
bewitching,bi'witʃiŋ,"a. 迷人的, 令人销魂的",s. capturing interest as if by a spell,,0:bewitch/1:i/i:bewitching,35316
beyond,bi'jɒnd,"prep. 超过, 在那一边, 迟于\nadv. 在远处\nn. 更远处",r. farther along in space or time or degree\nr. on the farther side from the observer\nr. in addition,,,746
bidding,'bidiŋ,"n. 命令, 邀请, 出价\n[经] 投标, 招标",n. a request to be present,,0:bid/1:i/i:bidding,9796
big,big,"a. 大的, 重要的\nadv. 大量地",s. significant\ns. loud and firm\ns. conspicuous in position or importance\ns. prodigious,,t:biggest/r:bigger,162
bigger,,a. 更大的（big的比较级）,s. large or big relative to something else,,0:big/1:r,
biggest,,a. 最大的（big的最高级）,a above average in size or number or quantity or magnitude or extent\ns significant\ns very intense\ns loud and firm\ns conspicuous in position or importance\ns prodigious\ns exhibiting self-importance\ns feeling self-importance\ns (of animals) fully developed\ns marked by intense physical force\ns ,,0:big/1:t,
bill,bil,"n. 帐单, 清单, 钞票, 鸟嘴, 广告, 法案, 票据\nvt. 开帐单, (用招贴)宣布",n. a statute in draft before it becomes law\nn. an itemized statement of money owed for goods shipped or services rendered\nn. a piece of paper money (especially one issued by a central bank)\nn. the entertainment offered at a public presentation,,s:bills/d:billed/i:billing/p:billed/3:bills,8026
billiard,'biljәd,a. 台球的,a. of or relating to billiards,,s:billiards,15749
bingley,,宾利,,,,24702
bird,bә:d,"n. 鸟, 羽毛球\nvi. 打鸟",n. warm-blooded egg-laying vertebrates characterized by feathers and forelimbs modified as wings\nn. the flesh of a bird or fowl (wild or domestic) used as food\nv. watch and study birds in their natural habitat,,s:birds/i:birding/p:birded/3:birds/d:birded,1122
birds,,n. 鸟类；禽（bird的复数）,n warm-blooded egg-laying vertebrates characterized by feathers and forelimbs modified as wings\nn the flesh of a bird or fowl (wild or domestic) used as food\nn informal terms for a (young) woman\nn a cry or noise made to express displeasure or contempt\nn badminton equipment consisting of a ball o,,0:bird/1:s,12143
birmingham,'bә:miŋәm,n. 伯明翰,n. the largest city in Alabama; located in northeastern Alabama\nn. a city in central England; 2nd largest English city and an important industrial and transportation center,,,2505
birth,bә:θ,"n. 出生, 起源\n[医] 生产, 分娩",n. the time when something begins (especially life)\nn. the event of being born\nn. a baby born; an offspring,,s:births/i:birthing/p:birthed/3:births/d:birthed,1499
birthday,'bɜːθdeɪ,n. 生日，诞辰；诞生的日子,,,,
bit,bit,"n. 少量, 马嚼子, 辅币\nvt. 给马上嚼子, 控制\nbite的过去式和过去分词\n[计] 比特, 二进制数位, 机内测试",n. a small fragment of something broken off from the whole\nn. piece of metal held in horse's mouth by reins and used to control the horse while riding\nn. a unit of measurement of information (from binary + digit); the amount of information in a system having two equiprobable states\nn. the part of,,s:bits/0:bite/1:pd,952
bite,bait,"n. 咬, 一口\nv. 咬, 刺痛, 穿透",n. a wound resulting from biting by an animal or a person\nn. a light informal meal\nn. (angling) an instance of a fish taking the bait\nn. the act of gripping or chewing off with the teeth and jaws,,p:bit/i:biting/s:bites/3:bites/d:bit,3153
bites,,n. 咬伤,n a wound resulting from biting by an animal or a person\nn a small amount of solid food; a mouthful\nn a painful wound caused by the thrust of an insect's stinger into skin\nn a light informal meal\nn (angling) an instance of a fish taking the bait\nn wit having a sharp and caustic quality\nn a str,,0:bite/1:s3,
biting,'baitiŋ,"a. 刺痛的, 辛辣的\n[医] 咬, 啮",s. causing a sharply painful or stinging sensation; used especially of cold,,0:bite/1:i/i:biting/s:bitings,14015
bitten,'bitn,bite的过去分词,"v to grip, cut off, or tear with or as if with the teeth or jaws\nv cause a sharp or stinging pain or discomfort\nv penetrate or cut, as with a knife\nv deliver a sting to",,d:bitten/0:bitten/1:d,9800
bitter,'bitә,"a. 苦的, 痛苦的, 怀恨的\nadv. 刺骨\nv. (使)变苦",n. English term for a dry sharp-tasting ale with strong flavor of hops (usually on draft)\nn. the taste experience when quinine or coffee is taken into the mouth\nv. make bitter\ns. very difficult to accept or bear,,s:bitters/i:bittering/p:bittered/3:bitters/d:bittered,3580
bitterest,,a. 怀恨的( bitter的最高级 ); 尖锐的; 严寒的; 愤愤不平的,s. marked by strong resentment or cynicism\ns. very difficult to accept or bear\ns. harsh or corrosive in tone,,0:bittere/1:t,
bitterly,'bitәli,"adv. 怨恨地, 悲痛地, 残酷地","r. with bitterness, in a resentful manner\nr. indicating something hard to accept",,,8508
bitterness,'bitәnis,"n. 苦味, 悲痛, 怨恨",n. a rough and bitter manner\nn. the property of having a harsh unpleasant taste,,s:bitternesses,8320
black,blæk,"n. 黑色, 黑颜料\na. 黑色的",n. the quality or state of the achromatic color of least lightness (bearing the least resemblance to white)\nn. British chemist who identified carbon dioxide and who formulated the concepts of specific heat and latent heat (1728-1799)\nn. popular child actress of the 1930's (born in 1928)\nn. a pers,,s:blacks/p:blacked/r:blacker/t:blackest/d:blacked/i:blacking/3:blacks,253
blacken,'blækәn,"vt. 使变黑, 诽谤\nvi. 变黑",v. make or become black,,d:blackened/i:blackening/p:blackened/3:blackens,15212
blacking,'blækiŋ,"n. 黑色鞋油, 黑色涂料\n[机] 涂黑",n a substance used to produce a shiny protective surface on footwear\nv make or become black,,0:black/1:i/i:blacking,
blade,bleid,"n. 叶片, 刀锋, 刀口, 剑\n[医] 页[片], 叶片, 刀片, 刀刃, 刀口",n. especially a leaf of grass or the broad portion of a leaf as distinct from the petiole\nn. a dashing young man\nn. something long and thin resembling a blade of grass\nn. a cut of beef from the shoulder blade,,s:blades/p:bladed,3148
blades,,n. 刀刃；扁叉；刀片（blade的复数）,n especially a leaf of grass or the broad portion of a leaf as distinct from the petiole\nn a dashing young man\nn something long and thin resembling a blade of grass\nn a cutting or thrusting weapon that has a long metal blade and a hilt with a hand guard\nn a cut of beef from the shoulder blade\nn,,0:blade/1:s,35786
blame,bleim,"n. 过失, 责备\nvt. 责备, 归咎于",n. a reproach for some lapse or misdeed\nv. put or pin the blame on\nv. harass with constant criticism\nv. attribute responsibility to,,d:blamed/p:blamed/i:blaming/3:blames,1797
blameless,'bleimlis,"a. 无可责难的, 无过失的, 清白的",s. free of guilt; not subject to blame,,,23274
blamelessness,,n. 无罪,n. The quality or state of being blameless; innocence.,,,
blaming,,vbl. 归咎；责备；谴责,v put or pin the blame on\nv harass with constant criticism\nv attribute responsibility to,,0:blame/1:i/i:blaming,41879
blasted,'blæstid,"a. 枯萎的, 被破坏的, 被咒的",s. expletives used informally as intensifiers,,0:blast/1:pd/p:blasted/d:blasted,22438
blasts,blɑ:sts,"n. 爆炸( blast的名词复数 ); 一阵（疾风等）; （吹奏乐器、哨子、汽车喇叭等突然发出的）响声; 突如其来的强劲气流\nv. （用炸药）炸毁( blast的第三人称单数 ); 狠打; 发出刺耳的高音; 向…猛吹, （用水）向…喷射",n a very long fly ball\nn a sudden very loud noise\nn a strong current of air\nn an explosion (as of dynamite)\nn a highly pleasurable or exciting experience\nn intense adverse criticism\nv make a strident sound\nv hit hard\nv use explosives on\nv apply a draft or strong wind to to\nv create by usin,,0:blast/1:s3,
bleed,bli:d,"vi. 流血, 悲痛, 渗出\nvt. 使出血, 榨取",v. draw blood\nv. get or extort (money or other possessions) from someone\nv. drain of liquid or steam,,i:bleeding/3:bleeds/d:bled/p:bled,5218
bleeds,,v. 感到疼痛；出血（bleed的第三人称单数）,v lose blood from one's body\nv draw blood\nv get or extort (money or other possessions) from someone\nv be diffused\nv drain of liquid or steam,,0:bleed/1:3,
blenheim,'blenim,n. 布伦海姆（德国西部村庄）；布伦海姆（狗的一种）；布伦海姆（轰炸机）,n. the First Duke of Marlborough and Prince Eugene of Savoy defeated the French in 1704 during the War of the Spanish Succession,,,16910
bless,bles,"vt. 祝福, 祈佑, 使神圣化",v. give a benediction to\nv. confer prosperity or happiness on\nv. make the sign of the cross over someone in order to call on God for protection; consecrate,,d:blessed/p:blessed/i:blessing/3:blesses,4161
blessed,'blesid,"a. 神圣的, 受祝福的\nbless的过去式和过去分词",a. highly favored or fortunate (as e.g. by divine grace)\ns. worthy of worship\ns. enjoying the bliss of heaven\ns. characterized by happiness and good fortune,,0:bless/1:dp/d:blessed/p:blessed,8050
blessing,'blesiŋ,n. 祝福,n. the formal act of approving\nn. a desirable state\nn. the act of praying for divine protection,,0:bless/1:i/s:blessings/i:blessing,4673
blew,blu:,blow的过去式和过去分词,"v exhale hard\nv be blowing or storming\nv free of obstruction by blowing air through\nv be in motion due to some air or water current\nv make a sound as if blown\nv shape by blowing\nv make a mess of, destroy or ruin\nv spend thoughtlessly; throw away\nv spend lavishly or wastefully on\nv sound by ",,0:blow/1:p,
blind,blaind,"n. 蒙蔽物, 窗帘\na. 盲目的, 瞎的, 不加思考的\nvt. 使失明, 蒙蔽, 遮暗\nadv. 盲目地","n. people who have severe visual impairments, considered as a group\nn. a hiding place sometimes used by hunters (especially duck hunters)\nn. a protective covering that keeps things out or hinders sight\nv. render unable to see",,s:blinds/d:blinded/p:blinded/r:blinder/i:blinding/3:blinds,2716
blinded,blamd,blind（使变瞎；使失明）的过去式及过去分词,s. deprived of sight,,0:blind/1:dp/p:blinded/d:blinded,32053
blinds,'blaindz,n. 百叶窗；盲人（常用复数）,"n people who have severe visual impairments, considered as a group\nn a hiding place sometimes used by hunters (especially duck hunters)\nn a protective covering that keeps things out or hinders sight\nn something intended to misrepresent the true nature of an activity\nv render unable to see\nv mak",,0:blind/1:s3,
blistered,'blɪstəd,"a. 水疮状的, 泡状的\nv. （使）起水泡( blister的过去式和过去分词 ); （使表皮等）涨破, 爆裂",v get blistered\nv subject to harsh criticism\nv cause blisters to form on,,0:blister/1:pd/p:blistered,30809
block,blɒk,"n. 街区, 木块, 石块, 块\nvt. 阻塞, 封锁, 使成块状\n[计] 块, 数据块",n. a solid piece of something (usually having flat rectangular sides)\nn. a rectangular area in a city surrounded by streets and usually containing several buildings\nn. a three-dimensional shape with six square or rectangular sides\nn. a number or quantity of related things dealt with as a unit,,s:blocks/d:blocked/i:blocking/p:blocked/3:blocks,1314
blocks,'blɔks,n. 积木；黑金石；街区；[音]双头木鱼；楼群（block的复数）,n a solid piece of something (usually having flat rectangular sides)\nn a rectangular area in a city surrounded by streets and usually containing several buildings\nn a three-dimensional shape with six square or rectangular sides\nn a number or quantity of related things dealt with as a unit\nn hous,,0:block/1:s3,
blood,blʌd,"n. 血, 血统, 流血, 气质, 生命\nvt. 使出血, 用血涂","n. the fluid (red in vertebrates) that is pumped through the body by the heart and contains plasma, blood cells, and platelets\nn. temperament or disposition\nn. people viewed as members of a group\nv. smear with blood, as in a hunting initiation rite, where the face of a person is smeared with the ",,s:bloods/d:blooded/i:blooding/p:blooded/3:bloods,692
blossoms,ˈblɔsəmz,"n. （尤指果树的）花( blossom的名词复数 ); 花丛, 花簇\nv. （植物）开花( blossom的第三人称单数 ); 发展; 长成; 变得更加健康（或自信、成功）",n reproductive organ of angiosperm plants especially one having showy or colorful parts\nn the period of greatest prosperity or productivity\nv produce or yield flowers\nv develop or come to a promising stage,,0:blossom/1:s3,
blots,blɔts,n. 污渍( blot的名词复数 ); 墨水渍; 错事; 污点\nv. 涂污( blot的第三人称单数 ); （用吸墨纸）吸干,n a blemish made by dirt\nn an act that brings discredit to the person who does it\nv dry (ink) with blotting paper\nv make a spot or mark onto,,0:blot/1:s3,
blow,blәu,"n. 吹, 打击, 殴打, 花开\nv. 吹, 风吹, 吹响, 开花",n. a powerful stroke with the fist or a weapon\nn. an impact (as from a collision)\nn. forceful exhalation through the nose or mouth\nv. exhale hard,,p:blew/d:blown/i:blowing/s:blows/3:blows,1414
blown,blәun,"a. 吹制的, 喘气的, 开着花的\nblow的过去分词",s. being moved or acted upon by moving air or vapor\ns. breathing laboriously or convulsively,,0:blow/1:d/d:blown/p:blown,17827
blows,,n. 吹；管乐器声；疾风（blow的复数）,n a powerful stroke with the fist or a weapon\nn an impact (as from a collision)\nn an unfortunate happening that hinders or impedes; something that is thwarting or frustrating\nn an unpleasant or disappointing surprise\nn a strong current of air\nn street names for cocaine\nn forceful exhalation th,,0:blow/1:s3,
blowzy,'blajzi,"a. 红脸的,蓬乱的,不整洁的",s characteristic of or befitting a slut or slattern; used especially of women,,,
blue,blu:,"n. 蓝色\na. 蓝色的, 下流的, 忧郁的\nvt. 染成蓝色\nvi. 变蓝",n. blue color or pigment; resembling the color of the clear sky in the daytime\nn. blue clothing\nn. any organization or party whose uniforms or badges are blue\nn. any of numerous small butterflies of the family Lycaenidae,,s:blues/i:bluing/p:blued/3:blues/d:blued,842
blunted,blʌntid,"v. 把…弄钝, 减弱( blunt的过去式和过去分词 )",s. made dull or blunt,,0:blunt/1:dp/d:blunted/p:blunted,29508
blush,blʌʃ,"vi. 脸红, 羞愧\nvt. 弄成红色\nn. 脸红","n. sudden reddening of the face (as from embarrassment or guilt or shame or modesty)\nv. turn red, as if in embarrassment or shame\nv. become rosy or reddish",,p:blushed/i:blushing/s:blushes/d:blushed/3:blushes,9003
blushed,blʌʃt,v. 脸红( blush的过去式和过去分词 ),imp. & p. p. of Blush,,0:blush/1:pd,
blushing,'blʌʃiŋ,"a. 脸红的, 羞愧的\n[化] 发白; 涂料发白现象","v turn red, as if in embarrassment or shame\nv become rosy or reddish\ns having a red face from embarrassment or shame or agitation or emotional upset",,0:blush/1:i/i:blushing,34747
boards,,"n. 木板, 板子；纸板（board复数形式）",n. the stage of a theater\nn. the boarding that surrounds an ice hockey rink,,1:s3/0:board,
boast,bәust,"n. 吹牛\nvi. 吹牛, 自夸\nvt. 夸口说, 自恃有",n. speaking of yourself in superlatives\nv. show off,,3:boasts/p:boasted/i:boasting/d:boasted/s:boasts,4534
boasted,bəustid,v. 有（引以为荣的事物）( boast的过去式和过去分词 ); 扬言,imp. & p. p. of Boast,,0:boast/1:pd,
boasting,,"v. 吹嘘, 夸耀（boast的ing形式）",n speaking of yourself in superlatives\nv show off\nv wear or display in an ostentatious or proud manner,,0:boast/1:i/i:boasting,31873
bodices,ˈbɔdɪsiz,"n. 妇女连衣裙的上身, 妇女紧身马甲, 妇女紧身胸衣( bodice的复数形式 )",n. part of a dress above the waist,,0:bodice/1:s,
bodies,,n. （文章、文件等的）正文；（人或动物的）身体；主体部分（body的复数）,"n the entire structure of an organism (an animal, plant, or human being)\nn a group of persons associated by some common tie or occupation and regarded as an entity\nn a natural object consisting of a dead animal or person\nn an individual 3-dimensional object that has mass and that is distinguishab",,1:s3/0:body,
body,'bɒdi,"n. 身体, 人, 尸体, 主要部分, 团体\nvt. 赋以形体\n[计] 体","n. the entire structure of an organism (an animal, plant, or human being)\nn. a group of persons associated by some common tie or occupation and regarded as an entity\nn. a natural object consisting of a dead animal or person\nn. an individual 3-dimensional object that has mass and that is distingui",,s:bodies/i:bodying/p:bodied/3:bodies/d:bodied,313
bogs,bɔɡz,"n. 沼泽, 泥塘( bog的名词复数 ); 厕所\nv. （使）陷入泥沼, （使）陷入困境( bog的第三人称单数 ); 妨碍, 阻碍",n wet spongy ground of decomposing vegetation; has poorer drainage than a swamp; soil is unfit for cultivation but can be cut and dried and used for fuel\nv cause to slow down or get stuck\nv get stuck while doing something,,0:bog/1:s,
boisterous,'bɒistәrәs,"a. 猛烈的, 喧闹的, 狂暴的",s. noisy and lacking in restraint or discipline\ns. full of rough and exuberant animal spirits\ns. violently agitated and turbulent,,,15945
boldly,'bәuldli,"adv. 大胆地, 显眼地","r. with boldness, in a bold manner",,,10559
bondage,'bɒndidʒ,"n. 奴役, 束缚\n[法] 束缚, 监禁, 奴隶",n. the state of being under the control of a force or influence or abstract power\nn. the state of being under the control of another person\nn. sexual practice that involves physically restraining (by cords or handcuffs) one of the partners,,,16176
bone,bәun,"n. 骨头, 骨, 骨制品\nvt. 剔骨\nvi. 专心致志",n. rigid connective tissue that makes up the skeleton of vertebrates\nn. the porous calcified substance from which bones are made\nn. a shade of white the color of bleached bones\nv. remove the bones from,,s:bones/i:boning/p:boned/3:bones/d:boned,1443
bones,bәunz,"n. 骨骼, 尸体",n. a percussion instrument consisting of a pair of hollow pieces of wood or bone (usually held between the thumb and fingers) that are made to click together (as by Spanish dancers) in rhythm with the dance,,1:s3/0:bone,
bonnet,'bɒnit,n. 软帽\n[化] 阀盖; 阀帽,n. a hat tied under the chin\nv. dress in a bonnet,,s:bonnets,15125
book,buk,"n. 书, 书籍, 帐簿, 名册, 工作簿\nv. 登记, 预订\n[计] 工作簿",n. a written work or composition that has been published (printed on pages bound together)\nn. physical objects consisting of a number of pages bound together\nn. a collection of playing cards satisfying the rules of a card game\nn. a collection of rules or prescribed standards on the basis of which,,s:books/d:booked/p:booked/i:booking/3:books,241
books,,n. 书评；书籍（book的复数）,n a written work or composition that has been published (printed on pages bound together)\nn physical objects consisting of a number of pages bound together\nn a compilation of the known facts regarding something or someone\nn a written version of a play or other dramatic composition; used in prepar,,1:s3/0:book,
boots,bu:ts,n. （英）擦靴的仆役；靴子（boot的复数）,n footwear that covers the whole foot and lower leg\nn British term for the luggage compartment in a car\nn the swift release of a store of affective force\nn protective casing for something that resembles a leg\nn an instrument of torture that is used to heat or crush the foot and leg\nn a form of ,,0:boot/1:s3,8957
boq,,abbr. 单身军官宿舍（bachelor officers' quarters）；工程量清单（Bill of Quantity）,,,,
bordered,'bɔ:dәd,a. 有边的,a. having a border especially of a specified kind; sometimes used as a combining term,,0:border/1:dp/d:bordered,
bordering,,n. 边界标志物,v extend on all sides of simultaneously; encircle\nv form the boundary of; be contiguous to\nv enclose in or as if in a frame\nv provide with a border or edge\nv lie adjacent to another or share a boundary,,0:border/1:i/i:bordering,34306
bore,bɒ:,"n. 令人讨厌的人, 激浪, 枪膛, 孔\nvt. 使烦扰, 钻孔\nvi. 钻孔\nbear的过去式\n[计] 内径; 孔径",n. a person who evokes boredom\nn. diameter of a tube or gun barrel\nn. a hole or passage made by a drill; usually made for exploratory purposes\nv. cause to be bored,,0:bear/1:p/i:boring/p:bored/3:bores/d:bored/s:bores,4946
born,bɒ:n,a. 天生的\nbear的过去分词,n. British nuclear physicist (born in Germany) honored for his contributions to quantum mechanics (1882-1970)\na. brought into existence,,0:bear/1:d/d:born/p:born/i:borning,1088
borne,bɔ:n,v. 忍受；负荷；结果实；生子女（bear的过去分词）,"v have\nv cause to be born\nv put up with something or somebody unpleasant\nv move while holding up or supporting\nv bring forth, ""The apple tree bore delicious apples this year""\nv take on as one's own the expenses or debts of another person\nv contain or hold; have within\nv bring in\nv have on on",,0:bear/1:d/d:borne,
borrow,'bɒrәu,"vt. 借, 借入, 借用\nvi. 借\n[计] 借位; 借位数",v. get temporarily,,d:borrowed/p:borrowed/i:borrowing/3:borrows,3214
bosom,'buzәm,"n. 胸部, 胸, 胸怀, 内部, 中间\nvt. 怀抱",n. the chest considered as the place where secret thoughts are kept\nn. a person's breast or chest\nn. cloth that covers the chest or breasts\nv. hide in one's bosom,,s:bosoms/i:bosoming/p:bosomed/3:bosoms/d:bosomed,12630
bosoms,ˈbuzəmz,n. 胸部( bosom的名词复数 ); 胸怀; 女衣胸部（或胸襟）; 和爱护自己的人在一起的情形,n the chest considered as the place where secret thoughts are kept\nn a person's breast or chest\nn cloth that covers the chest or breasts\nn a close affectionate and protective acceptance\nn the locus of feelings and intuitions\nn either of two soft fleshy milk-secreting glandular organs on the che,,1:s3/0:bosom,
both,bәuθ,a. 两者的\nadv. 两者都\npron. 两者,s. (used with count nouns) two considered together; the two,,,255
bother,'bɒðә,"vt. 烦扰, 迷惑\nvi. 烦恼, 操心\nn. 麻烦, 纠纷, 讨厌的人",v. intrude or enter uninvited\nv. make nervous or agitated\nv. make confused or perplexed or puzzled,,d:bothered/i:bothering/p:bothered/3:bothers,2189
bottle,'bɒtl,"n. 瓶子, 酒瓶\nvt. 装瓶, 抑制, 围困",n. a glass or plastic vessel used for storing drinks or other liquids; typically cylindrical without handles and with a narrow neck that can be plugged or capped\nn. the quantity contained in a bottle\nn. a vessel fitted with a flexible teat and filled with milk or formula; used as a substitute for ,,s:bottles/d:bottled/p:bottled/i:bottling/3:bottles,1740
bottom,'bɒtәm,"n. 底部\na. 底部的\nvt. 给...装底, 查明真相\nvi. 到达底部, 建立基础",n. the lower side of anything\nn. the lowest part of anything\nn. the second half of an inning; while the home team is at bat\nn. a cargo ship,,s:bottoms/i:bottoming/p:bottomed/3:bottoms/d:bottomed,1511
bough,bau,n. 大树枝,n. any of the larger branches of a tree,,s:boughs/i:boughing,15790
bought,bɒ:t,a. 买来的\nbuy的过去式和过去分词,v obtain by purchase; acquire by means of a financial transaction\nv make illegal payments to in exchange for favors or influence\nv be worth or be capable of buying\nv acquire by trade or sacrifice or exchange\nv accept as true,,0:buy/1:pd,
boulanger,,布朗热（人名）,,,,
bound,baund,"n. 跃, 回跳, 范围, 边界\na. 受约束的, 装有封面的, 有义务的, 关联的, 被束缚的, 准备去...的, 便秘的\nvi. 跳跃, 弹起\nvt. 使跳, 限制, 形成...的疆界\nbind过去式和过去分词\n[计] 装订的","v. form the boundary of; be contiguous to\na. confined by bonds\na. held with another element, substance or material in chemical or physical union\na. secured with a cover or binding; often used as a combining form",,0:bind/1:dp/s:bounds/d:bounded/i:bounding/p:bound/3:bounds,8004
boundary,'baundri,"n. 边界, 分界线\n[计] 边界",n. the line or plane indicating the limit or extent of something\nn. a line determining the limits of an area,,s:boundaries,2776
bounded,'baundid,a. 有界限的,s. having the limits or boundaries established,,0:bound/1:dp/d:bounded,29089
bounding,baundɪŋ,v. 跳( bound的现在分词 ); 弹回; 向上弹; 向上跳,v move forward by leaps and bounds\nv form the boundary of; be contiguous to\nv place limits on (extent or access)\nv spring back; spring away from an impact,,0:bound/1:i/i:bounding,38052
boundless,'baundlis,"a. 无限的, 无边无际的\n[经] 无限的","s. seemingly boundless in amount, number, degree, or especially extent",,,15729
bounds,,"n. 边界, 范围, 限度, 界限","n the line or plane indicating the limit or extent of something\nn a line determining the limits of an area\nn the line or plane indicating the limit or extent of something\nn the greatest possible degree of something\nn a light, self-propelled movement upwards or forwards\nv move forward by leaps a",,0:bound/1:s3,
bounty,'baunti,"n. 慷慨, 宽大, 礼物\n[经] 奖励金, 补贴",n. payment or reward (especially from a government) for acts such as catching criminals or killing predatory animals or enlisting in the military\nn. generosity evidenced by a willingness to give freely\nn. a ship of the British navy; in 1789 part of the crew mutinied against their commander William,,s:bounties,9150
bow,bәu.bau,"n. 弓, 眼睛框\nv. 用弓拉琴, 弯成弓形\nn. 鞠躬, 屈服","n. a knot with two loops and loose ends; used to tie shoelaces\nn. a slightly curved piece of resilient wood with taut horsehair strands; used in playing certain stringed instruments\nn. front part of a vessel or aircraft\nn. a weapon for shooting arrows, composed of a curved piece of resilient wood",,p:bowed/s:bows/i:bowing/d:bowed/3:bows,4098
bowed,bәud,"a. 弯如弓的, 低垂的",a. of a stringed instrument; sounded by stroking with a bow\ns. showing an excessively deferential manner,,0:bow/1:pd/d:bowed/p:bowed,25868
bowing,'bauiŋ,n. 运弓法,n. managing the bow in playing a stringed instrument,,0:bow/1:i/i:bowing/s:bowings,30745
bowl,bәul,"n. 碗, 木球, 大酒杯\nv. 滚木球, 快而稳地行驶",n. a round vessel that is open at the top; used chiefly for holding food or liquids; \nn. a concave shape with an open top\nn. a dish that is round and open at the top for serving foods\nn. the quantity contained in a bowl,,s:bowls/p:bowled/d:bowled/i:bowling/3:bowls,1829
